id;article_id;snippet_type;title;content;applicable_triggers;blocked_by_red_lines;success_signals;weight;embedding;updated_at
043bb411-0b89-4971-9f5a-7713d427aa95;a0000001-0000-0000-0000-000000000016;strategy;Offer one bounded choice;When bedtime becomes a power struggle, reduce language and offer one simple choice that still moves the routine forward. Example: pajama choice or story choice.;"[""transitions"",""fatigue""]";[];"[""accepts_choice"",""reduced_arguing""]";1;;2026-03-11 04:46:49.707274+00
79a60829-cd31-4f72-92c7-940881d7f34e;a0000001-0000-0000-0000-000000000016;strategy;Lower stimulation gradually;Dim lights 20 minutes before bed. Reduce talking volume. Use slow movements. This signals the body to wind down without a direct command.;"[""fatigue"",""sensory_overload""]";[];"[""calms_quickly"",""follows_routine""]";1;;2026-03-11 04:46:49.707274+00
40147192-f854-4566-9998-5f22bc69fd72;a0000001-0000-0000-0000-000000000016;script;Connection before compliance;"Sit with the child briefly. Say: ""I can see you are not ready for bed yet. Let us do one last calm thing together, then it is time."" This validates feelings while holding the boundary.";"[""transitions""]";"[""cry_it_out""]";"[""feels_heard"",""accepts_boundary""]";1;;2026-03-11 04:46:49.707274+00
5be30b57-93fd-4513-a58b-947a744af59b;a0000001-0000-0000-0000-000000000016;warning;Avoid negotiation spirals;Offering too many choices or re-explaining the rule repeatedly can escalate the power struggle. State the plan once, then hold it with calm presence.;"[""fatigue""]";[];"[""reduced_arguing""]";1;;2026-03-11 04:46:49.707274+00
da14d1d5-bb98-4cc8-9394-807499f2a216;a0000001-0000-0000-0000-000000000018;strategy;Division of responsibility;Parent decides what, when, and where food is served. Child decides whether and how much to eat. Removes the power struggle from mealtime.;"[""hunger""]";"[""food_rewards""]";"[""reduced_pressure"",""eats_some""]";1;;2026-03-11 04:46:49.707274+00
db62716c-2f34-4077-932b-70c11b5decc4;a0000001-0000-0000-0000-000000000018;strategy;Learning plate approach;Place a small separate plate where the child can put foods they are not ready to eat yet. Reduces pressure and gives a sense of control over new foods.;"[""hunger""]";[];"[""tries_new_food"",""less_anxiety""]";1;;2026-03-11 04:46:49.707274+00
69cd3020-d017-40ad-9220-49011109ac82;a0000001-0000-0000-0000-000000000018;script;Safe food bridge;"Always include one safe food the child likes alongside new foods. Say: ""You do not have to eat the broccoli. Your yogurt is right here too.""";"[""hunger""]";"[""food_rewards""]";"[""eats_some"",""calms_quickly""]";1;;2026-03-11 04:46:49.707274+00
b5bc1cc6-1ff4-44d0-acc4-5880a0730085;a0000001-0000-0000-0000-000000000020;strategy;Visual routine chart;Use a simple picture-based chart showing each step. Point to the chart instead of repeating verbal instructions. This externalizes the authority.;"[""transitions"",""schedule_changes""]";[];"[""follows_routine"",""reduced_arguing""]";1;;2026-03-11 04:46:49.707274+00
079c9f69-0b16-48f4-bf4b-d8a186037739;a0000001-0000-0000-0000-000000000020;strategy;When-then framing;"Replace demands with when-then statements. ""When your shoes are on, then we can go."" Keeps it factual, not threatening.";"[""transitions""]";[];"[""accepts_boundary"",""follows_routine""]";1;;2026-03-11 04:46:49.707274+00
b62cd027-dbfb-4e08-8030-88b86a6d4495;a0000001-0000-0000-0000-000000000020;script;Body-based redirect;"If the child is frozen or crying, skip verbal reasoning. Say: ""Let us move our bodies. Can you hop to the door?"" Movement often breaks the freeze.";"[""fatigue"",""transitions""]";[];"[""calms_quickly"",""engages""]";1;;2026-03-11 04:46:49.707274+00
3a368856-71b8-4a53-8859-8abbe707f337;a0000001-0000-0000-0000-000000000028;strategy;Sportscaster narration;"Describe what you see without judging. ""I see two kids who both want the red truck."" This helps children feel seen and slows the escalation.";"[""sibling_conflict""]";[];"[""feels_heard"",""de_escalates""]";1;;2026-03-11 04:46:49.707274+00
bb6adf28-c3df-451a-a996-ba74fa511978;a0000001-0000-0000-0000-000000000028;strategy;Separation with connection;Briefly separate children to different spaces, then reconnect with each one individually. Avoid assigning blame. Focus on what each child needs.;"[""sibling_conflict""]";"[""time_outs""]";"[""calms_quickly"",""reduced_arguing""]";1;;2026-03-11 04:46:49.707274+00
03b46f02-0b10-4075-9319-f14d9d2b3752;a0000001-0000-0000-0000-000000000028;script;Problem-solving invitation;"After emotions settle, say: ""You both wanted it. What is one idea that could work for both of you?"" Coach the solution without imposing one.";"[""sibling_conflict""]";[];"[""learns_skill"",""accepts_boundary""]";1;;2026-03-11 04:46:49.707274+00
a0a3a294-7753-4d99-a39b-4c4663bccde5;a0000001-0000-0000-0000-000000000022;strategy;Countdown warnings;Give 2-minute and 1-minute warnings before transitions. Use a visual timer if possible. Predictability reduces meltdowns.;"[""transitions""]";[];"[""accepts_transition"",""reduced_arguing""]";1;;2026-03-11 04:46:49.707274+00
0384a56a-e5c6-4c08-bb6d-41ecfbf3118c;a0000001-0000-0000-0000-000000000022;strategy;Bridge object;Let the child bring one small item from the current activity to the next. This provides continuity and softens the break.;"[""transitions""]";[];"[""accepts_transition"",""calms_quickly""]";1;;2026-03-11 04:46:49.707274+00
e69c970b-bfeb-4723-9ba5-32faa0fa1f07;a0000001-0000-0000-0000-000000000022;script;Acknowledge then redirect;"Say: ""It is hard to stop when you are having fun. You can finish that one piece, and then we will move to the next thing.""";"[""transitions""]";[];"[""feels_heard"",""accepts_boundary""]";1;;2026-03-11 04:46:49.707274+00
06fda90c-c0b1-46d6-9aff-94986102f7ff;a0000001-0000-0000-0000-000000000031;strategy;Two-choice clothing;"Lay out exactly two options. Say: ""Do you want the blue shirt or the green shirt?"" Reduces overwhelm while maintaining the boundary.";"[""transitions""]";[];"[""accepts_choice"",""follows_routine""]";1;;2026-03-11 04:46:49.707274+00
f30a5287-aa95-4047-91e7-40eb8df85e3b;a0000001-0000-0000-0000-000000000031;script;Playful dressing;"Turn it into a game. ""Can you get your shirt on before I count to ten?"" or ""Let us see if your socks are hiding — oh there they are!"" Playfulness bypasses resistance.";"[""transitions""]";[];"[""engages"",""calms_quickly""]";1;;2026-03-11 04:46:49.707274+00
5d5d9631-62bc-4b1b-bf3c-0c206ed66893;a0000001-0000-0000-0000-000000000024;strategy;Calm anchor technique;Get down to the child's level. Speak quietly. Your calm is the anchor. Ignore onlookers. Focus only on the child.;"[""sensory_overload"",""public_setting""]";[];"[""calms_quickly"",""feels_heard""]";1;;2026-03-11 04:46:49.707274+00
03ecd01c-4161-4401-b0d7-0df5bccc88a0;a0000001-0000-0000-0000-000000000024;strategy;Strategic exit;"If the child cannot regulate, calmly leave the environment. Say: ""We are going to take a break outside."" Return later or try another day.";"[""sensory_overload"",""public_setting""]";[];"[""de_escalates"",""calms_quickly""]";1;;2026-03-11 04:46:49.707274+00
55ad8161-35a9-4456-ae98-ac1ef767118e;a0000001-0000-0000-0000-000000000024;script;Validate in public;"Say: ""I can see you are really upset. I am right here. We can figure this out together."" Do not worry about other people watching.";"[""public_setting""]";"[""shame_language""]";"[""feels_heard"",""calms_quickly""]";1;;2026-03-11 04:46:49.707274+00
5ac563f3-3917-4779-8322-10f3f2caced9;a0000001-0000-0000-0000-000000000026;strategy;Transition ritual after screens;Create a specific ritual for after screen time. Example: screens off, then a physical activity or snack. Predictable transitions reduce battles.;"[""transitions""]";"[""screen_bribery""]";"[""accepts_transition"",""follows_routine""]";1;;2026-03-11 04:46:49.707274+00
0b47afd1-9c21-4463-b31d-606c9d70555f;a0000001-0000-0000-0000-000000000026;script;Named ending;"Say: ""After this episode ends, screens are done. What do you want to do next?"" Giving them agency over the next activity eases the loss.";"[""transitions""]";"[""screen_bribery""]";"[""accepts_boundary"",""reduced_arguing""]";1;;2026-03-11 04:46:49.707274+00
f3173a73-9bb4-4f09-897f-528dd2979213;a0000001-0000-0000-0000-000000000009;strategy;Chunk and celebrate;Break homework into small 5-10 minute chunks with brief movement breaks. Celebrate completing each chunk, not perfection.;"[""fatigue""]";[];"[""engages"",""follows_routine""]";1;;2026-03-11 04:46:49.707274+00
d629817c-22f0-4de7-a32e-c810f9a418b3;a0000001-0000-0000-0000-000000000009;script;Start alongside;"Sit down and do your own quiet task next to them. Say: ""I will do my work while you do yours. We are a team."" Parallel presence reduces isolation.";"[""fatigue""]";[];"[""engages"",""calms_quickly""]";1;;2026-03-11 04:46:49.707274+00
78f4214a-981b-4288-b855-f12f96c82867;a0000001-0000-0000-0000-000000000010;strategy;Sensory-friendly bath;Check water temperature, reduce echo, add bath toys or colors. Sometimes refusal is sensory, not behavioral.;"[""sensory_overload""]";[];"[""engages"",""calms_quickly""]";1;;2026-03-11 04:46:49.707274+00
fe050257-afdf-4e20-84e3-5a0fed388f2b;a0000001-0000-0000-0000-000000000010;script;Choice within boundary;"Say: ""Bath time is happening. Do you want bubbles or no bubbles? Do you want to bring a toy?"" The bath is non-negotiable; the details are theirs.";"[""transitions""]";[];"[""accepts_choice"",""follows_routine""]";1;;2026-03-11 04:46:49.707274+00
