problem_category|title|age_groups|description|source_notes
bedtime_resistance|Bedtime Resistance in Toddlers and Preschoolers|["toddler","preschool"]|Toddlers and preschoolers resist bedtime because they experience it as a simultaneous loss of autonomy and connection — their two dominant developmental drives. The prefrontal cortex, responsible for managing transitions, is still immature; by evening, fatigue compounds this, as cortisol rises when children push past their sleep window, paradoxically increasing arousal and protest. Bedtime resistance is rarely defiance: it is almost always a child whose nervous system needs external co-regulation to make the shift from activation to calm.|Blampied, N.M. & France, K.G. (1993). A behavioral model of infant sleep disturbance. Journal of Applied Behavior Analysis, 26(4), 477–492. | Mindell, J.A. et al. (2009). A nightly bedtime routine: impact on sleep in young children and maternal mood. SLEEP, 32(5), 599–606. | Mindell, J.A. & Williamson, A.A. (2017). Benefits of a bedtime routine in young children. Sleep Medicine Reviews, 40, 93–108. | Porges, S.W. (2022). Polyvagal theory: a science of safety. Frontiers in Integrative Neuroscience, 16, 871227.
bedtime_resistance|Bedtime Resistance in School-Age Children|["school_age"]|School-age children's bedtime resistance shifts from neurological immaturity toward cognitively motivated delay: requests for water, one more book, questions about tomorrow, or fears that surface at night when there is no activity to distract from them. The basic mechanisms of the bedtime routine remain effective across this age band, but the content of resistance is more verbal, reasoned, and persistent. Ren and Fan (2018) demonstrate that daily routines continue to predict self-regulation in children through age 6, confirming that structure around sleep retains its regulatory function well into school age.|Mindell, J.A. & Williamson, A.A. (2017). Benefits of a bedtime routine in young children. Sleep Medicine Reviews, 40, 93–108. | Ren, L. & Fan, J. (2018). Chinese preschoolers' daily routine and its associations with parent-child relationships and child self-regulation. International Journal of Behavioral Development, 43(3), 246–255. | Gradisar, M. et al. (2016). Behavioral interventions for infant sleep problems: a randomized controlled trial. Pediatrics, 137(6), e20151486.
meal_refusal|Food Refusal and Selective Eating in Toddlers and Preschoolers|["toddler","preschool"]|Food neophobia — fear of novel foods — peaks developmentally around 24 months before naturally declining through the preschool years; selective eating at this age is therefore primarily a neurobiological feature of typical development, not a behavioral problem. Perry et al. (2015) document food neophobia at its natural peak at 24 months, while Caton et al.'s (2012) RCT demonstrated that repeated exposure without pressure is the only feeding approach with strong controlled-trial evidence for increasing acceptance of new vegetables. The central risk at this age is parental pressure: Ventura and Birch's (2008) review shows that pressure reliably decreases intake and food enjoyment, initiating a self-reinforcing coercive mealtime cycle.|Caton, S.J. et al. (2012). Repetition counts: repeated exposure increases intake of a novel vegetable in UK pre-school children. British Journal of Nutrition, 109(11), 2089–2097. | Perry, R. et al. (2015). Food neophobia and its association with diet quality and weight in children aged 24 months. IJBNPA, 12, 13. | Ventura, A.K. & Birch, L.L. (2008). Does parenting affect children's eating and weight status? IJBNPA, 5, 15. | Sanders, M.R. et al. (1993). Children with persistent feeding difficulties. Health Psychology, 12(1), 64–73. | Gregory, J. et al. (2010). Maternal feeding practices, child eating behaviour and BMI in preschool-aged children. IJBNPA, 7, 55.
meal_refusal|Mealtime Conflict and Food Refusal in School-Age Children|["school_age"]|In school-age children, food refusal increasingly involves preference entrenchment rather than primary neophobia; the behavioral patterns established in the toddler and preschool years — coercive mealtime cycles, contingent reward feeding — are now habitual and require active restructuring. Campbell et al.'s (2024) PCIT-Health RCT established that in-session parent coaching during meals simultaneously reduced controlling feeding practices and children's mealtime behavior problems, providing the closest available trial evidence for real-time mealtime coaching delivery. Division of Responsibility principles (what and when the parent provides; whether and how much the child eats) remain applicable and supported by the broader feeding literature.|Ventura, A.K. & Birch, L.L. (2008). Does parenting affect children's eating and weight status? IJBNPA, 5, 15. | Campbell, S. et al. (2024). The effects of parent-child interaction therapy on parent feeding practices and children's problematic mealtime behaviors. Behavior Therapy. https://doi.org/10.1016/j.beth.2024.08.005 | Gregory, J. et al. (2010). Maternal feeding practices, child eating behaviour and BMI in preschool-aged children. IJBNPA, 7, 55.
morning_routine|Morning Meltdowns in Toddlers and Preschoolers|["toddler","preschool"]|Morning meltdowns occur at the intersection of three regulatory challenges: executive function is at minimum availability in the hour after waking due to sleep inertia, the morning sequence involves multiple rapid transitions, and time pressure means parents are most stressed precisely when children are most dysregulated. Brewer et al. (2014) recommend a 5-minute verbal warning followed by a 2-minute countdown as the evidence-supported transition-support technique, targeting the cognitive flexibility that Buttelmann and Karbach (2017) identify as developing most rapidly between ages 3 and 7 with caregiver scaffolding.|Brewer, A.T. et al. (2014). Advance notice for transition-related problem behavior. Behavior Analysis in Practice, 7(1), 52–56. | Buttelmann, F. & Karbach, J. (2017). Development and plasticity of cognitive flexibility in early and middle childhood. Frontiers in Psychology, 8, 1040. | Ren, L. & Fan, J. (2018). Chinese preschoolers' daily routine and its associations with parent-child relationships and child self-regulation. IJBD, 43(3), 246–255. | Blair, C. (2002). School readiness. American Psychologist, 57(2), 111–127.
morning_routine|Morning Routine Struggles in School-Age Children|["school_age"]|School-age morning resistance combines lower-grade versions of the same regulatory challenges with the added complexity of social anxiety about school, task avoidance, and the developmental drive for autonomy over personal choices. Ren and Fan (2018) demonstrate that routine structure continues to predict self-regulation through the preschool and early school years. Patterson (2002) identifies the coercive family process as the mechanism through which inconsistent morning routines escalate: once a child learns that resistance is effective, each subsequent morning raises the base arousal level for conflict.|Ren, L. & Fan, J. (2018). Chinese preschoolers' daily routine and its associations with parent-child relationships and child self-regulation. IJBD, 43(3), 246–255. | Patterson, G.R. (2002). Etiology and treatment of child and adolescent antisocial behavior. The Behavior Analyst Today, 3(2), 133–145. | Brewer, A.T. et al. (2014). Advance notice for transition-related problem behavior. Behavior Analysis in Practice, 7(1), 52–56. | Joussemet, M. et al. (2008). A self-determination theory perspective on parenting. Canadian Psychology, 49(3), 194–200.
transition_meltdown|Transition Meltdowns in Toddlers and Preschoolers|["toddler","preschool"]|Transitions are among the most reliable triggers of dysregulation in young children because they require exactly the cognitive flexibility — switching attention, abandoning one goal, adopting another — that the immature prefrontal cortex finds most difficult. Buttelmann and Karbach (2017) show that cognitive flexibility undergoes its most rapid development between ages 3 and 7, with individual variation strongly shaped by caregiver scaffolding quality; Hongwanishkul et al. (2005) demonstrate that hot executive function (needed when the activity being abandoned is rewarding) is especially vulnerable to emotional arousal. Brewer et al.'s (2014) clinical guidance is the most operationalized available intervention for this response.|Brewer, A.T. et al. (2014). Advance notice for transition-related problem behavior: practice guidelines. Behavior Analysis in Practice, 7(1), 52–56. | Buttelmann, F. & Karbach, J. (2017). Development and plasticity of cognitive flexibility. Frontiers in Psychology, 8, 1040. | Hongwanishkul, D. et al. (2005). Assessment of hot and cool executive function in young children. Developmental Neuropsychology, 28(2), 617–644. | Blair, C. (2002). School readiness. American Psychologist, 57(2), 111–127.
whining_crying|Constant Whining and Crying in Toddlers and Preschoolers|["toddler","preschool"]|Toddler and preschooler whining is typically communication under physiological stress: the child knows something is wrong but lacks the regulated language to express it. Carr and Durand (1985) established in a landmark study (2,118 citations) that challenging behaviors including whining most often serve an unmet communicative function; teaching equivalent verbal requests reduces the behavioral form. Katz et al.'s (2012) 15-year review of meta-emotion research confirms that dismissing these protests predicts both internalizing and externalizing outcomes — the child's signal must be responded to, though not necessarily with compliance to the whined request.|Carr, E.G. & Durand, V.M. (1985). Reducing behavior problems through functional communication training. Journal of Applied Behavior Analysis, 18(2), 111–126. | Katz, L.F., Maliken, A.C. & Stettler, N.M. (2012). Parental meta-emotion philosophy: a review. Infant and Child Development, 21(4), 353–369. | Gottman, J., Katz, L.F. & Hooven, C. (1997). Meta-Emotion: How Families Communicate Emotionally. Lawrence Erlbaum Associates. | Giesbrecht, G.F. et al. (2010). The anger-distress model of temper tantrums. Infant and Child Development, 19(5), 478–496.
public_tantrum|Public Tantrums in Toddlers and Preschoolers|["toddler","preschool"]|Public tantrums are neurologically identical to in-home tantrums — the child's anger regulation system is overwhelmed — but feel more intense to parents because of social observation. Giesbrecht et al. (2010) established empirically that tantrums have two separable phases: an anger phase (screaming, throwing, hitting) and a distress phase (whimpering, comfort-seeking); each requires a different parental response. Potegal et al.'s (2009) statistical modeling of anger time-courses in toddlers confirms a unimodal peak with natural decline, directly supporting non-engagement during the peak and reconnection as the distress phase begins.|Giesbrecht, G.F. et al. (2010). The anger-distress model of temper tantrums. Infant and Child Development, 19(5), 478–496. | Qiu, P., Yang, R. & Potegal, M. (2009). Statistical modeling of the time course of tantrum anger. arXiv:0910.1455. | Wakschlag, L.S. et al. (2013). Advancing a multidimensional, developmental spectrum approach to preschool disruptive behavior. JAACAP, 53(1), 82–96. | Taylor, C.A. et al. (2010). Mothers' spanking of 3-year-old children and subsequent risk of children's aggressive behavior. Pediatrics, 125(5), e1057–e1065.
hitting_aggression|Hitting and Physical Aggression in Toddlers and Preschoolers|["toddler","preschool"]|Physical aggression in toddlers peaks naturally between 24 and 36 months before declining as language and regulatory capacity develop — Alink et al.'s (2006) cross-sequential study of 2,253 children established this normative developmental curve. The decline is not automatic: it requires caregivers to actively teach alternative communication. Carr and Durand (1985) established that aggression most often serves an unmet communicative function, and that teaching an equivalent verbal request substantially reduces the behavior. Kalvin et al.'s (2024) systematic review confirms parent management training as the strongest evidence-based psychosocial approach for this age band.|Alink, L.R.A. et al. (2006). The early childhood aggression curve. Child Development, 77(4), 954–966. | Carr, E.G. & Durand, V.M. (1985). Reducing behavior problems through functional communication training. Journal of Applied Behavior Analysis, 18(2), 111–126. | Kalvin, C. et al. (2024). Evidence-based psychosocial treatments for childhood irritability and aggressive behavior. JAACAP Open, 2(2), 85–100. | Taylor, C.A. et al. (2010). Spanking of 3-year-olds and subsequent aggression. Pediatrics, 125(5), e1057–e1065.
